TP_ESCOLA,NU_NOTA_MT,NU_NOTA_CN,NU_NOTA_REDACAO,NU_NOTA_LC
Pública,459.3,568.4,520.0,581.4
Pública,387.9,337.5,500.0,500.4
Pública,595.5,512.9,500.0,542.0
Pública,385.6,504.5,640.0,479.0
Pública,629.7,397.8,760.0,546.1
Pública,471.3,447.5,520.0,554.1
Pública,608.2,542.1,800.0,620.5
Pública,694.8,567.7,720.0,600.2
Pública,441.1,371.4,640.0,432.7
Pública,401.4,465.2,0.0,501.7
Pública,425.9,480.3,520.0,512.6
Privada,567.0,433.0,440.0,461.5
Privada,504.0,496.4,880.0,569.2
Privada,608.3,561.4,900.0,600.2
Pública,374.4,438.3,560.0,553.0
Pública,387.9,438.3,520.0,496.8
Privada,731.6,546.9,760.0,617.6
Pública,457.7,468.5,480.0,373.9
Pública,498.6,431.0,600.0,443.2
Pública,490.9,454.3,520.0,535.0
Pública,451.0,387.0,540.0,489.4
Privada,680.4,606.9,880.0,627.2
Privada,653.2,598.9,840.0,604.1
Pública,480.2,520.1,580.0,543.6
Pública,426.6,509.6,580.0,561.2
Pública,474.9,502.6,500.0,544.6
Pública,441.6,414.7,500.0,549.5
Pública,379.3,381.2,560.0,532.4
Pública,560.0,392.4,540.0,331.8
Pública,423.2,437.6,240.0,435.9
Pública,491.6,453.7,660.0,491.1
Pública,362.2,558.7,580.0,557.4
Privada,498.7,384.5,580.0,547.6
Privada,568.8,620.7,880.0,608.2
Pública,401.3,364.8,440.0,503.3
Pública,461.0,425.2,460.0,420.4
Pública,493.7,449.3,700.0,518.8
Privada,605.7,562.5,900.0,600.7
Privada,714.1,590.6,740.0,596.6
Privada,613.8,602.4,600.0,563.9
Privada,745.0,637.8,840.0,622.3
Privada,644.5,479.5,760.0,567.3
Privada,681.0,577.5,960.0,582.2
Privada,605.3,413.6,740.0,542.9
Pública,457.6,447.4,560.0,482.7
Pública,488.6,375.7,560.0,568.2
Privada,472.2,613.0,940.0,606.8
Privada,564.0,456.0,680.0,489.8
Pública,561.2,435.3,820.0,478.7
Pública,431.7,391.5,520.0,446.3
Pública,570.7,531.1,580.0,599.4
Privada,522.8,527.0,740.0,524.7
Pública,405.3,426.1,0.0,391.7
Pública,589.1,474.1,640.0,578.8
Pública,367.7,409.3,280.0,504.0
Pública,480.7,443.5,520.0,581.8
Pública,528.2,495.9,300.0,538.6
Privada,606.7,635.0,840.0,610.6
Pública,410.3,434.4,340.0,521.0
Privada,555.3,502.5,860.0,547.7
Privada,511.2,455.9,640.0,501.4
Privada,681.9,515.0,880.0,565.2
Privada,441.6,486.9,340.0,429.9
Pública,460.3,350.9,280.0,425.3
Pública,404.0,399.6,380.0,392.1
Pública,588.5,490.4,640.0,525.2
Pública,516.4,438.9,560.0,465.3
Pública,449.3,428.4,540.0,485.3
Pública,743.6,628.3,620.0,604.5
Pública,542.4,469.9,600.0,552.0
Privada,609.1,451.6,960.0,563.4
Privada,374.9,579.2,920.0,593.7
Privada,686.7,612.0,780.0,574.3
Privada,557.9,443.2,760.0,567.8
Pública,518.1,435.2,540.0,557.3
Pública,450.4,386.5,280.0,483.3
Privada,430.2,545.0,880.0,568.0
Pública,408.0,475.2,600.0,528.8
Pública,528.5,366.5,640.0,507.6
Privada,529.2,399.9,500.0,453.4
Privada,556.5,561.9,640.0,606.4
Pública,535.8,426.7,560.0,494.2
Pública,742.8,617.7,840.0,619.3
Pública,626.1,543.5,560.0,563.4
Pública,480.0,481.8,620.0,447.5
Pública,442.9,454.1,520.0,508.5
Privada,698.4,611.4,960.0,627.5
Pública,479.7,501.5,380.0,504.9
Pública,553.5,560.5,720.0,547.7
Pública,473.9,398.5,400.0,415.6
Pública,556.3,435.7,700.0,546.3
Pública,588.1,551.1,760.0,580.2
Pública,695.9,606.5,960.0,629.7
Pública,456.0,429.0,540.0,456.7
Privada,723.5,586.1,880.0,589.0
Pública,374.8,431.8,320.0,376.6
Privada,431.0,535.1,840.0,558.2
Privada,791.7,637.0,840.0,601.1
Pública,505.1,559.0,680.0,555.9
Pública,529.9,423.4,720.0,523.8
Privada,728.4,579.5,880.0,610.9
Privada,591.1,546.2,840.0,550.8
Privada,403.5,406.9,600.0,520.4
Privada,510.3,575.6,600.0,567.9
Pública,475.9,385.9,580.0,414.8
Pública,458.2,445.9,0.0,498.7
Pública,529.6,490.9,720.0,497.9
Pública,542.2,435.4,380.0,448.4
Pública,589.3,456.2,520.0,555.9
Privada,583.1,521.1,760.0,577.4
Privada,725.5,622.1,780.0,626.9
Privada,723.7,584.9,900.0,567.5
Privada,550.4,563.6,660.0,582.7
Pública,432.2,476.7,600.0,437.8
Pública,594.7,550.0,620.0,514.8
Pública,518.9,525.7,820.0,566.6
Pública,545.6,510.6,620.0,558.0
Privada,365.3,430.3,480.0,496.7
Privada,669.6,592.8,780.0,606.0
Pública,431.5,405.2,500.0,556.2
Pública,479.0,492.1,640.0,539.3
Pública,384.8,420.7,400.0,410.1
Pública,437.3,365.8,220.0,424.0
Privada,579.3,545.1,600.0,536.5
Privada,637.4,550.5,900.0,555.1
Privada,600.7,558.0,760.0,581.2
Privada,510.5,581.7,760.0,565.9
Pública,483.8,388.4,480.0,434.6
Pública,536.9,359.7,460.0,465.6
Pública,510.5,440.9,720.0,536.8
Pública,434.4,419.7,400.0,567.4
Pública,409.6,386.6,760.0,554.5
Pública,558.2,399.6,480.0,530.0
Pública,580.1,603.3,560.0,573.7
Pública,609.8,473.3,640.0,556.8
Pública,546.2,447.0,600.0,524.9
Privada,484.2,473.1,740.0,507.5
Pública,490.9,368.4,440.0,504.6
Pública,441.8,354.7,460.0,455.2
Pública,456.8,467.6,600.0,517.7
Pública,563.5,519.6,800.0,583.8
